mqc_id	VariantClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	ROI	AllVarMeanDP	CovBin	Aligner	SNVCaller
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-SNPts	SNPts	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ	337668665.0	337403053.0	18863.0	246749.0	105994.0	0.7980820079080787	0.928982877279641	0.9996859521220478	0.30048505569210443	0.6995149443078956	0.6995149443078955	HG003	giabHC_x_clinvar_genes	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-SNPtv	SNPtv	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ	337668665.0	337548357.0	10048.0	110260.0	20515.0	0.8782753113512265	0.9164810320178209	0.9999392272164241	0.15687249091951827	0.8431275090804817	0.8431275090804817	HG003	giabHC_x_clinvar_genes	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-INS_50	INS_50	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ	337668665.0	337642300.0	3463.0	22902.0	2037.0	0.8927958833619211	0.8686516214678551	0.999993967024538	0.08167929748586551	0.9183207025141344	0.9183207025141344	HG003	giabHC_x_clinvar_genes	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-INS_gt50	INS_gt50	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ	337668665.0	337668665.0	0.0	0.0	0.0			1.0				HG003	giabHC_x_clinvar_genes	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-DEL_50	DEL_50	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ	337668665.0	337640557.0	3300.0	24808.0	2359.0	0.8976209859791949	0.8825957022911627	0.9999930133289099	0.08683329038907497	0.913166709610925	0.913166709610925	HG003	giabHC_x_clinvar_genes	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-DEL_gt50	DEL_gt50	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ	337668665.0	337668665.0	0.0	0.0	0.0			1.0				HG003	giabHC_x_clinvar_genes	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-Indel_50	Indel_50	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ	337668665.0	337665752.0	466.0	2447.0	17.0	0.9101729588990144	0.8400274630964641	0.9999999496543578	0.006899350649350649	0.9931006493506493	0.9931006493506493	HG003	giabHC_x_clinvar_genes	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-Indel_gt50	Indel_gt50	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ	337668665.0	337668625.0	18.0	22.0	0.0	0.7096774193548387	0.55	1.0	0.0	1.0	1.0	HG003	giabHC_x_clinvar_genes	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-All	All	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ	337668665.0	337225319.0	36158.0	407188.0	130922.0	0.8297631274351576	0.9184429317057107	0.9996119176582834	0.24329969708795599	0.756700302912044	0.756700302912044	HG003	giabHC_x_clinvar_genes	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-SNPts	SNPts	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ			188042.0	0.0	0.0		0.0					HG003	hg38	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-SNPtv	SNPtv	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ			104945.0	0.0	0.0		0.0					HG003	hg38	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-INS_50	INS_50	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ			40783.0	0.0	0.0		0.0					HG003	hg38	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-INS_gt50	INS_gt50	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ			238.0	0.0	0.0		0.0					HG003	hg38	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-DEL_50	DEL_50	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ			38154.0	0.0	0.0		0.0					HG003	hg38	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-DEL_gt50	DEL_gt50	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ			138.0	0.0	0.0		0.0					HG003	hg38	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-Indel_50	Indel_50	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ			7716.0	0.0	0.0		0.0					HG003	hg38	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-Indel_gt50	Indel_gt50	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ			604.0	0.0	0.0		0.0					HG003	hg38	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-All	All	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ	3088286401.0	3087905781.0	380620.0	0.0	0.0		0.0	1.0				HG003	hg38	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-SNPts	SNPts	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ			176700.0	0.0	0.0		0.0					HG003	giabHC	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-SNPtv	SNPtv	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ			98423.0	0.0	0.0		0.0					HG003	giabHC	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-INS_50	INS_50	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ			32320.0	0.0	0.0		0.0					HG003	giabHC	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-INS_gt50	INS_gt50	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ			1.0	0.0	0.0		0.0					HG003	giabHC	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-DEL_50	DEL_50	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ			30972.0	0.0	0.0		0.0					HG003	giabHC	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-DEL_gt50	DEL_gt50	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ			0.0	0.0	0.0							HG003	giabHC	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-Indel_50	Indel_50	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ			5124.0	0.0	0.0		0.0					HG003	giabHC	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-Indel_gt50	Indel_gt50	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ			149.0	0.0	0.0		0.0					HG003	giabHC	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-All	All	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ	2528531102.0	2528187413.0	343689.0	0.0	0.0		0.0	1.0				HG003	giabHC	-1	-2	sent	clair3
I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ-sent-clair3-SNPts	SNPts	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ	332544085.0	332287201.0	16273.0	240611.0	100748.0	0.8043921951447823	0.9366523411345199	0.9996968963516785	0.2951379632586221	0.7048620367413778	0.7048620367413778	HG003	giabHC_x_ultima_x_clinvar	-1	-2	sent	clair3
