mqc_id	VariantClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	ROI	AllVarMeanDP	CovBin	Aligner	SNVCaller
I30x_HG001_grapev1_0-dragen-dragen-SNPts	SNPts	I30x_HG001_grapev1_0	334933992.0	334674314.0	719.0	258959.0	468.0	0.9977133720538234	0.9972311863153598	0.9999986016275346	0.0018039756848747433	0.9981960243151252	0.9981960243151252	HG001	giabHC_x_clinvar_genes	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-SNPtv	SNPtv	I30x_HG001_grapev1_0	334933992.0	334816943.0	383.0	116666.0	202.0	0.9974991129332199	0.9967278661073568	0.9999993966856148	0.0017284457678748673	0.9982715542321251	0.9982715542321251	HG001	giabHC_x_clinvar_genes	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-INS_50	INS_50	I30x_HG001_grapev1_0	334933992.0	334909705.0	111.0	24176.0	28.0	0.9971334886886227	0.9954296537242145	0.9999999163953829	0.0011568335812262437	0.9988431664187738	0.9988431664187738	HG001	giabHC_x_clinvar_genes	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-INS_gt50	INS_gt50	I30x_HG001_grapev1_0	334933992.0	334933992.0	0.0	0.0	0.0			1.0				HG001	giabHC_x_clinvar_genes	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-DEL_50	DEL_50	I30x_HG001_grapev1_0	334933992.0	334907902.0	59.0	26031.0	33.0	0.9982359934041493	0.9977385971636642	0.9999999014654579	0.0012661141804788214	0.9987338858195212	0.9987338858195212	HG001	giabHC_x_clinvar_genes	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-DEL_gt50	DEL_gt50	I30x_HG001_grapev1_0	334933992.0	334933992.0	0.0	0.0	0.0			1.0				HG001	giabHC_x_clinvar_genes	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-Indel_50	Indel_50	I30x_HG001_grapev1_0	334933992.0	334931203.0	9.0	2780.0	5.0	0.9974883387154646	0.9967730369307995	0.9999999850715613	0.0017953321364452424	0.9982046678635548	0.9982046678635548	HG001	giabHC_x_clinvar_genes	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-Indel_gt50	Indel_gt50	I30x_HG001_grapev1_0	334933992.0	334933961.0	1.0	30.0	0.0	0.9836065573770492	0.967741935483871	1.0	0.0	1.0	1.0	HG001	giabHC_x_clinvar_genes	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-All	All	I30x_HG001_grapev1_0	334933992.0	334504068.0	1282.0	428642.0	736.0	0.9976515823307753	0.9970180776137177	0.999997799732646	0.0017141073832380792	0.9982858926167619	0.9982858926167619	HG001	giabHC_x_clinvar_genes	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-SNPts	SNPts	I30x_HG001_grapev1_0	2799325643.0	2797106007.0	2419.0	2217217.0	194643.0	0.9574517607269877	0.9989101816694269	0.9999304175616589	0.08070244541557138	0.9192975545844286	0.9192975545844286	HG001	ultima	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-SNPtv	SNPtv	I30x_HG001_grapev1_0	2799325643.0	2798285109.0	1428.0	1039106.0	109569.0	0.9492981254873335	0.9986276277372964	0.9999608457660167	0.09538729405619518	0.9046127059438048	0.9046127059438048	HG001	ultima	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-INS_50	INS_50	I30x_HG001_grapev1_0	2799325643.0	2799164692.0	413.0	160538.0	32188.0	0.9078226743610694	0.9974340016526769	0.9999885009874689	0.1670143104718616	0.8329856895281385	0.8329856895281383	HG001	ultima	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-INS_gt50	INS_gt50	I30x_HG001_grapev1_0	2799325643.0	2799325624.0	15.0	4.0	343.0	0.021857923497267756	0.21052631578947367	0.999999877470504	0.9884726224783862	0.011527377521613813	0.011527377521613832	HG001	ultima	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-DEL_50	DEL_50	I30x_HG001_grapev1_0	2799325643.0	2799153558.0	378.0	171707.0	43672.0	0.8863120186649598	0.9978034111049772	0.9999843983841039	0.20276814359802953	0.7972318564019705	0.7972318564019705	HG001	ultima	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-DEL_gt50	DEL_gt50	I30x_HG001_grapev1_0	2799325643.0	2799325619.0	24.0	0.0	168.0		0.0	0.9999999399855491	1.0	0.0	0.0	HG001	ultima	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-Indel_50	Indel_50	I30x_HG001_grapev1_0	2799325643.0	2799307997.0	8.0	17638.0	4098.0	0.8957391701792697	0.9995466394650345	0.9999985360689123	0.18853514906146485	0.8114648509385352	0.8114648509385352	HG001	ultima	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-Indel_gt50	Indel_gt50	I30x_HG001_grapev1_0	2799325643.0	2799324678.0	4.0	961.0	611.0	0.7575877020102484	0.9958549222797928	0.9999997817331189	0.388676844783715	0.611323155216285	0.611323155216285	HG001	ultima	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-All	All	I30x_HG001_grapev1_0	2799325643.0	2795713783.0	4689.0	3607171.0	385292.0	0.9487158817425297	0.998701776923801	0.9998622037382563	0.09650483924334427	0.9034951607566557	0.9034951607566557	HG001	ultima	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-SNPts	SNPts	I30x_HG001_grapev1_0	2512291789.0	2510084005.0	5719.0	2202065.0	2398.0	0.9981603477774477	0.9974096197816453	0.9999990446544003	0.0010877932630304976	0.9989122067369695	0.9989122067369695	HG001	giabHC	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-SNPtv	SNPtv	I30x_HG001_grapev1_0	2512291789.0	2511246511.0	3160.0	1042118.0	1439.0	0.9977982942645064	0.9969768807915215	0.9999994269781285	0.0013789376143325185	0.9986210623856675	0.9986210623856675	HG001	giabHC	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-INS_50	INS_50	I30x_HG001_grapev1_0	2512291789.0	2512079491.0	689.0	211609.0	166.0	0.9979838376883226	0.9967545619836268	0.9999999339192929	0.0007838507850312832	0.9992161492149687	0.9992161492149687	HG001	giabHC	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-INS_gt50	INS_gt50	I30x_HG001_grapev1_0	2512291789.0	2512291788.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	HG001	giabHC	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-DEL_50	DEL_50	I30x_HG001_grapev1_0	2512291789.0	2512064622.0	423.0	226744.0	217.0	0.9985907057041186	0.9981379337667883	0.9999999136168793	0.0009561114023995312	0.9990438885976005	0.9990438885976005	HG001	giabHC	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-DEL_gt50	DEL_gt50	I30x_HG001_grapev1_0	2512291789.0	2512291789.0	0.0	0.0	0.0			1.0				HG001	giabHC	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-Indel_50	Indel_50	I30x_HG001_grapev1_0	2512291789.0	2512263657.0	84.0	28048.0	23.0	0.9980961870362792	0.9970140764965164	0.9999999908449101	0.0008193509315663853	0.9991806490684336	0.9991806490684336	HG001	giabHC	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-Indel_gt50	Indel_gt50	I30x_HG001_grapev1_0	2512291789.0	2512291528.0	2.0	259.0	0.0	0.9961538461538463	0.9923371647509579	1.0	0.0	1.0	1.0	HG001	giabHC	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-All	All	I30x_HG001_grapev1_0	2512291789.0	2508570868.0	10077.0	3710844.0	4243.0	0.9980742355306773	0.9972917995302776	0.9999983086015717	0.0011420997677847114	0.9988579002322153	0.9988579002322153	HG001	giabHC	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-SNPts	SNPts	I30x_HG001_grapev1_0	377862616.0	377595314.0	955.0	266347.0	36757.0	0.9338856884394623	0.9964272620481702	0.9999026645170717	0.12126860747466216	0.8787313925253378	0.8787313925253378	HG001	clinvar_genes	-1	-2	dragen	dragen
I30x_HG001_grapev1_0-dragen-dragen-SNPtv	SNPtv	I30x_HG001_grapev1_0	377862616.0	377741561.0	563.0	120492.0	21815.0	0.9150295031173822	0.9953492214282764	0.9999422522102831	0.15329534035570982	0.8467046596442902	0.8467046596442902	HG001	clinvar_genes	-1	-2	dragen	dragen
