ROI	VariantClass	Mean_Fscore	Min_Fscore	Max_Fscore
clinvar_genes	DEL_50	0.7121070250703546	0.1825351468739284	0.9947979715360706
clinvar_genes	INS_50	0.7050534381293765	0.1960206780476076	0.9908425863177466
clinvar_genes	Indel_50	0.5995447623160807	0.0123329907502569	0.9948174038809208
clinvar_genes	SNPts	0.8566521489636693	0.2129655491240405	0.9958280441407996
clinvar_genes	SNPtv	0.8413347792533918	0.2104324252193029	0.9954233963726178
giabHC	DEL_50	0.8761244212108361	0.1805133640346621	0.9983684837198572
giabHC	INS_50	0.8721620063878968	0.1946833125783223	0.9981311683480316
giabHC	Indel_50	0.8450196053853632	0.0100451004510045	0.9990059533562728
giabHC	SNPts	0.9034615791115029	0.2317328150580846	0.9989116454381708
giabHC	SNPtv	0.9021181275772912	0.2306631212252385	0.9982567476932828
giabHC_x_clinvar_genes	DEL_50	0.877369839571224	0.1902393333548658	0.9976620459858988
giabHC_x_clinvar_genes	INS_50	0.8742552185921291	0.2048192771084337	0.9968766664127372
giabHC_x_clinvar_genes	Indel_50	0.8487713281769467	0.0135685210312075	0.9993784959602238
giabHC_x_clinvar_genes	SNPts	0.899278570395105	0.2170640362376908	0.9988285016875604
giabHC_x_clinvar_genes	SNPtv	0.9012135395561287	0.2159391411915467	0.9982196339434276
giabHC_x_ultima	DEL_50	0.8946263190041865	0.2139647164056858	0.9993434806417552
giabHC_x_ultima	INS_50	0.8944146717053115	0.2347591221621373	0.9992059411224868
giabHC_x_ultima	Indel_50	0.8576147836026863	0.0089320692627125	0.9997144081108096
giabHC_x_ultima	SNPts	0.9084761261191041	0.2341816952362715	0.99922527580817
giabHC_x_ultima	SNPtv	0.907532447853472	0.2341221592242287	0.9990972411942332
giabHC_x_ultima_x_clinvar	DEL_50	0.8943653941856373	0.2271579538015524	0.9989161181166892
giabHC_x_ultima_x_clinvar	INS_50	0.8957779497236658	0.2474712068102153	0.9985993196695538
giabHC_x_ultima_x_clinvar	Indel_50	0.8552110197103064	0.008424599831508	0.999616711383672
giabHC_x_ultima_x_clinvar	SNPts	0.9034607383135947	0.220407710980217	0.9992465261350296
giabHC_x_ultima_x_clinvar	SNPtv	0.9056382940859908	0.2203666051001878	0.9986902079949704
hg38	DEL_50	0.7006586562801681	0.1743473667339388	0.9955885178352588
hg38	INS_50	0.6966115738274821	0.185464828949536	0.993045546053786
hg38	Indel_50	0.6049038160249353	9.982281450425494e-05	0.9968882132167798
hg38	SNPts	0.849934404850687	0.2263381792734223	0.9968243591451398
hg38	SNPtv	0.8227053165155305	0.2227884999282892	0.9963699153221824
hg38_m_giabHC	DEL_50	0.29708669971823864	0.1057953293012595	0.9709699715843638
hg38_m_giabHC	INS_50	0.2965420014802522	0.1194269647877895	0.958492329257846
hg38_m_giabHC	Indel_50	0.33056631670063275	0.0004187604690117	0.9901879776905598
hg38_m_giabHC	SNPts	0.3224906211586676	0.1149087547562253	0.974796979840586
hg38_m_giabHC	SNPtv	0.2696782046047402	0.0989310362721187	0.9726613299424904
ultima	DEL_50	0.8202329067001376	0.2092141617939985	0.997338542993856
ultima	INS_50	0.831236137491795	0.2288585694749228	0.9966672685373624
ultima	Indel_50	0.7940086336490311	0.0081789454117355	0.9987807298607764
ultima	SNPts	0.8814047575603786	0.2315930170010921	0.999146109783158
ultima	SNPtv	0.8751347240652165	0.2307879882294402	0.9989638089118104
