VCF Path	Size	Variants	TBI Valid
hg38_broad/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/15/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.15.snv.sort.vcf.gz	577.7MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/16/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.16.snv.sort.vcf.gz	577.7MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/17-19/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.17-19.snv.sort.vcf.gz	577.7MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/2/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.2.snv.sort.vcf.gz	577.7MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/20-25/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.20-25.snv.sort.vcf.gz	577.7MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/3/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.3.snv.sort.vcf.gz	577.7MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/4/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.4.snv.sort.vcf.gz	577.7MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/5/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.5.snv.sort.vcf.gz	577.7MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/6/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.6.snv.sort.vcf.gz	577.7MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/7/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.7.snv.sort.vcf.gz	577.7MB	FAIL([Errno 2] No such fi)	OK
