Sample	VariantClass	InputSample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	ROI	AllVarMeanDP	CovBin	Aligner	Deduper	SNVCaller
20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT10X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT10x-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.SNPts	SNPts	20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT10X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT10x-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377589416.0	4295.0	268905.0	30567.0	0.9391239662494412	0.9842789165446559	0.9999190535422486	0.10206964257092482	0.8979303574290751	0.8979303574290751	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT10X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT10x-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.SNPtv	SNPtv	20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT10X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT10x-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377738139.0	2106.0	122371.0	18869.0	0.9210626343064238	0.9830812117901299	0.9999500499008611	0.13359529878221468	0.8664047012177853	0.8664047012177853	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT10X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT10x-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.INS_50	INS_50	20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT10X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT10x-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377830666.0	544.0	31406.0	21108.0	0.7436541011555219	0.9829733959311424	0.9999441368244046	0.4019499562021556	0.5980500437978444	0.5980500437978444	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT10X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT10x-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.INS_gt50	INS_gt50	20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT10X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT10x-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377862583.0	16.0	17.0	332.0	0.08900523560209424	0.5151515151515151	0.9999991213744804	0.9512893982808023	0.04871060171919772	0.04871060171919771	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT10X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT10x-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.DEL_50	DEL_50	20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT10X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT10x-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377830406.0	472.0	31738.0	18880.0	0.7663592022021538	0.9853461657870226	0.9999500329874912	0.37298984550950254	0.6270101544904975	0.6270101544904975	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT10X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT10x-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.DEL_gt50	DEL_gt50	20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT10X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT10x-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377862597.0	8.0	11.0	304.0	0.06586826347305388	0.5789473684210527	0.9999991954753981	0.9650793650793651	0.03492063492063491	0.03492063492063492	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT10X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT10x-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.Indel_50	Indel_50	20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT10X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT10x-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377862572.0	3.0	41.0	86.0	0.47953216374269	0.9318181818181818	0.9999997724040781	0.6771653543307087	0.3228346456692913	0.3228346456692913	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT10X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT10x-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.Indel_gt50	Indel_gt50	20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT10X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT10x-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377862616.0	0.0	0.0	3.0			0.9999999920606065	1.0	0.0	0.0	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT10X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT10x-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.All	All	20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT10X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT10x-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377400683.0	7444.0	454489.0	90149.0	0.9030440972370554	0.9838851088794263	0.9997611889021983	0.16552095153110874	0.8344790484688913	0.8344790484688913	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT10X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT10x-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.SNPts	SNPts	20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT10X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT10x-0-HG003-a-PF-ILMN-NOVASEQ	2528531102.0	2526276396.0	16522.0	2238184.0	3030.0	0.9956511681702522	0.9926722153575677	0.999998800607736	0.0013519458650534933	0.9986480541349465	0.9986480541349465	HG003	giabHC	-1	-2	ont	dmd	sentdhiomr
